Vehicle Number,Vehicle Type,Time (sec),Length (m),Width (m),Long Distance (m),Long Speed (m/sec),Long Acc (m/sec2),Lat Distance (m),Lat Speed (m/sec),Lat Acc (m/sec2),Flag
1,1,3,1.8,0.6,21.82491803,4.874648602,-0.722183036,2.35187395,-0.009967447,-0.105182122,0
1,1,3.5,1.8,0.6,25.92637259,4.243077374,0.308803353,2.292951818,-0.062770942,0.014187569,0
1,1,4,1.8,0.6,30.41129644,5.319462541,1.023511498,2.20666885,0.037656759,0.238653262,0
1,1,4.5,1.8,0.6,35.69972058,6.575488437,2.213050484,2.407389693,0.141523099,-0.147137155,0
1,1,5,1.8,0.6,43.43069561,7.267821488,-1.793717948,2.438841935,-0.099595655,-0.240332341,0
1,1,5.5,1.8,0.6,49.2271162,4.707069567,-2.624294408,2.226488512,-0.17782865,0.080316476,0
1,1,6,1.8,0.6,52.48663621,3.526777679,0.571015472,2.104038048,-0.01977311,0.237318727,0
1,1,6.5,1.8,0.6,56.28970924,4.996324831,1.962853927,2.220002519,0.125435518,-0.041302478,0
1,1,7,1.8,0.6,62.24136461,6.12121548,-0.360808315,2.294257896,-0.022263629,-0.152389709,0
1,1,7.5,1.8,0.6,67.6478925,5.01350302,-0.740412482,2.201610891,-0.076681855,0.033880905,0
1,1,8,1.8,0.6,72.23908535,5.193298242,0.399569851,2.154014898,-0.000857529,0.092630394,0
1,1,8.5,1.8,0.6,77.46666912,5.154618635,-0.299786466,2.194094062,0.076728216,0.081479967,0
1,1,9,1.8,0.6,82.15782124,4.983087215,0.393017797,2.311274197,0.14977538,0.028755576,0
1,1,9.5,1.8,0.6,87.31775418,6.296103821,1.592118114,2.461586761,0.091880844,-0.119275138,0
1,1,10,1.8,0.6,93.98316435,7.030772466,-0.028434965,2.484964635,-0.014899216,-0.037292516,0
1,1,10.5,1.8,0.6,100.73834,5.763918259,-2.075643795,2.466929396,0.118138553,0.2059408,0
1,1,11,1.8,0.6,105.3337534,5.020590553,0.343880899,2.660361119,0.195812622,0.000897585,0
1,1,11.5,1.8,0.6,110.2116837,6.007031361,1.711764416,2.861153449,0.083625375,-0.258007915,0
1,1,12,1.8,0.6,116.9719604,6.872442104,-0.085929954,2.814573447,-0.150496871,-0.164641293,0
1,1,12.5,1.8,0.6,123.4274809,6.78762732,-0.175927193,2.585863623,-0.13811809,0.157604873,0
1,1,13,1.8,0.6,129.8217316,6.006296501,-1.058138529,2.551621231,-0.00695056,0.105717646,0
1,1,13.5,1.8,0.6,135.1679817,5.450432932,-0.482883349,2.578177582,0.069808247,0.072795735,0
1,1,14,1.8,0.6,140.1203662,5.202578033,0.304383592,2.709224224,0.075730178,-0.099254184,0
1,1,14.5,1.8,0.6,145.3103399,5.470509182,0.205745708,2.701243828,0.086518653,0.139263396,0
1,1,15,1.8,0.6,150.771,5.692213048,0.031691733,2.863820513,0.177856605,0.039100534,0
1,1,15.5,1.8,0.6,156.1236044,5.833094317,0.538234587,3.053700195,0.135590873,-0.102941029,0
1,1,16,1.8,0.6,162.0688575,6.239652963,0.01105162,3.139239868,0.100562876,0.002305719,0
1,1,16.5,1.8,0.6,168.0240662,5.914899991,-0.488454145,3.21795278,0.185901618,0.217056031,0
1,1,17,1.8,0.6,173.4757036,5.510256891,-0.400246099,3.518398105,0.33819551,0.041866148,0
1,1,17.5,1.8,0.6,178.5933773,5.307415095,0.078581159,3.862525059,0.272691776,-0.175997226,0
1,1,18,1.8,0.6,183.7559576,5.573837135,0.446530775,4.017899604,0.137148282,-0.047211646,0
1,1,18.5,1.8,0.6,189.3521012,6.075892764,0.474142731,4.137050164,0.160510397,0.075228003,0
1,1,19,1.8,0.6,195.3969554,6.361993481,0.150811518,4.332236065,0.220813125,0.0222593,0
1,1,19.5,1.8,0.6,201.5774023,6.27801702,-0.403813359,4.552696283,0.195352343,-0.075846014,0
1,1,20,1.8,0.6,207.3662501,5.810846285,-0.364470146,4.700947532,0.091933778,-0.118034246,0
1,1,20.5,1.8,0.6,212.8106403,5.65209579,-0.05046029,4.727874395,0.004895232,-0.046879897,0
1,1,21,1.8,0.6,218.2289205,5.61225367,-0.027190149,4.725300133,0.002068488,0.017276717,0
1,1,21.5,1.8,0.6,223.6213173,5.624912562,0.065764191,4.738151678,0.010391064,0.006306446,0
1,1,22,1.8,0.6,229.0669142,5.739032212,0.113225984,4.753152498,0.030644312,0.060368487,0
